id,city_name,locality_city,locality_town,area_usable,area_total,rooms,floor_is,floor_max,has_balcony,has_elevator,condition_name,listing_quality_score,locality_gpsPrecisionScore,price_current,other_model_estimated_price,our_model_predicted_price,other_model_error,our_model_error,better_model,prediction_error,prediction_error_pct,offer_type,is_active,date_archived
5222,Rimavská Sobota,,Rimavská Sobota,40.0,40.0,1.0,2.0,2.0,b'\x00',b'\x00',Čiastočná rekonštrukcia,1,1.0,51500.0,61039.21,59533.530847052316,9539.21,8033.530847052316,Our Model,8033.530847052316,15.6,1,b'\x01',
5225,Detva,,Hriňová,78.0,78.0,3.0,4.0,8.0,b'\x00',b'\x01',Čiastočná rekonštrukcia,0,0.0,140000.0,124261.27,118485.82748600456,15738.729999999996,21514.172513995436,Other Model,-21514.172513995436,-15.37,1,b'\x01',
5226,Trenčín,Trenčín,,78.0,172.0,3.0,,2.0,b'\x01',b'\x00',Novostavba,0,0.0,319900.0,260935.48,246981.95605162627,58964.51999999999,72918.04394837373,Other Model,-72918.04394837373,-22.79,1,b'\x01',
5228,Senec,,,88.64,114.35,3.0,3.0,3.0,b'\x01',b'\x01',Novostavba,0,0.0,239700.0,296749.75,260608.7662915387,57049.75,20908.76629153869,Our Model,20908.76629153869,8.72,1,b'\x01',
5248,Skalica,,Skalica,64.0,64.0,3.0,2.0,3.0,b'\x00',b'\x00',Čiastočná rekonštrukcia,1,1.0,138000.0,98838.74,96327.87312135383,39161.259999999995,41672.12687864617,Other Model,-41672.12687864617,-30.2,1,b'\x01',
5253,Skalica,,Holíč,35.0,35.0,1.0,3.0,3.0,b'\x00',b'\x00',Čiastočná rekonštrukcia,0,0.0,75000.0,70373.2,67074.80357618093,4626.800000000003,7925.19642381907,Other Model,-7925.19642381907,-10.57,1,b'\x01',
5254,Dunajská Streda,,Dunajská Streda,78.0,124.0,3.0,1.0,2.0,b'\x01',b'\x00',Novostavba,0,0.0,187200.0,173272.87,186444.64958582853,13927.130000000005,755.3504141714657,Our Model,-755.3504141714657,-0.4,1,b'\x01',
5255,Bratislava,Bratislava,,68.5,112.5,2.0,0.0,,b'\x01',b'\x01',Kompletná rekonštrukcia,0,0.0,420000.0,347431.74,366874.3323494159,72568.26000000001,53125.66765058407,Our Model,-53125.66765058407,-12.65,1,b'\x01',
5256,Banská Bystrica,Radvaň,,100.0,100.0,4.0,6.0,8.0,b'\x00',b'\x01',Pôvodný stav,0,0.0,225000.0,241115.65,248588.55507059811,16115.649999999994,23588.555070598115,Other Model,23588.555070598115,10.48,1,b'\x01',
5258,Dunajská Streda,,,79.0,141.0,3.0,0.0,2.0,b'\x01',b'\x00',Novostavba,0,0.0,199700.0,163693.83,218743.02719371175,36006.17000000001,19043.02719371175,Our Model,19043.02719371175,9.54,1,b'\x01',
5260,Trebišov,,Trebišov,95.0,100.23,4.0,5.0,8.0,b'\x01',b'\x01',Čiastočná rekonštrukcia,0,0.0,142900.0,158646.15,149929.95764410825,15746.149999999994,7029.957644108246,Our Model,7029.957644108246,4.92,1,b'\x01',
5262,Komárno,,Komárno,66.0,66.0,2.0,1.0,4.0,b'\x00',b'\x00',Kompletná rekonštrukcia,0,0.0,99900.0,120632.29,104056.9618479598,20732.289999999994,4156.961847959799,Our Model,4156.961847959799,4.16,1,b'\x01',
5263,Banská Bystrica,Banská Bystrica,,65.0,65.0,2.0,1.0,3.0,b'\x00',b'\x01',Novostavba,0,0.0,262900.0,268862.45,189042.68929379483,5962.450000000012,73857.31070620517,Other Model,-73857.31070620517,-28.09,1,b'\x01',
5267,Levice,,Levice,79.0,79.0,3.0,5.0,7.0,b'\x00',b'\x01',Čiastočná rekonštrukcia,0,0.0,104990.0,114402.51,114905.73537401174,9412.509999999995,9915.73537401174,Other Model,9915.73537401174,9.44,1,b'\x01',
5268,Poprad,,,69.0,69.0,3.0,1.0,1.0,b'\x00',b'\x00',Kompletná rekonštrukcia,2,2.0,145600.0,186207.04,158959.6191555113,40607.04000000001,13359.61915551129,Our Model,13359.61915551129,9.18,1,b'\x01',
5273,Partizánske,,Partizánske,41.0,41.0,2.0,3.0,6.0,b'\x00',b'\x01',Novostavba,1,1.0,89800.0,76082.94,89597.76213923623,13717.059999999998,202.23786076376564,Our Model,-202.23786076376564,-0.23,1,b'\x01',
5279,Komárno,,Komárno,70.0,76.0,3.0,1.0,4.0,b'\x00',b'\x00',Kompletná rekonštrukcia,0,0.0,150000.0,134445.39,141184.8565178383,15554.609999999986,8815.143482161686,Our Model,-8815.143482161686,-5.88,1,b'\x01',
5281,Trenčín,Trenčín,,73.0,78.07,3.0,8.0,8.0,b'\x01',b'\x01',Kompletná rekonštrukcia,0,0.0,193000.0,176421.22,178674.9332734797,16578.78,14325.066726520308,Our Model,-14325.066726520308,-7.42,1,b'\x01',
5288,Dunajská Streda,,Veľký Meder,81.0,201.0,3.0,0.0,,b'\x01',b'\x00',Novostavba,2,2.0,138000.0,158827.38,167433.67605282107,20827.380000000005,29433.676052821073,Other Model,29433.676052821073,21.33,1,b'\x01',
5289,Dunajská Streda,,Veľký Meder,75.0,75.0,3.0,1.0,1.0,b'\x00',b'\x00',Novostavba,2,2.0,123000.0,146741.34,139524.83682347782,23741.339999999997,16524.836823477817,Our Model,16524.836823477817,13.43,1,b'\x01',
5294,Bratislava,Bratislava,,47.0,54.2,2.0,3.0,7.0,b'\x01',b'\x01',Novostavba,0,0.0,310000.0,319486.0,323791.07952398295,9486.0,13791.079523982946,Other Model,13791.079523982946,4.45,1,b'\x01',
5295,Trnava,Trnava,,140.0,147.92,3.0,5.0,,b'\x01',b'\x01',Novostavba,0,0.0,499900.0,473082.0,375253.5134770485,26818.0,124646.48652295151,Other Model,-124646.48652295151,-24.93,1,b'\x01',
5297,Poprad,,,69.9,69.9,3.0,,,b'\x00',b'\x00',Kompletná rekonštrukcia,4,4.0,145600.0,,146999.069148397,,1399.0691483969858,No estimate available,1399.0691483969858,0.96,1,b'\x01',
5302,Humenné,,Humenné,80.0,80.0,4.0,1.0,1.0,b'\x00',b'\x01',Čiastočná rekonštrukcia,0,0.0,99999.0,127473.4,113694.07568826717,27474.399999999994,13695.07568826717,Our Model,13695.07568826717,13.7,1,b'\x01',
5305,Bratislava,Bratislava,,38.0,38.0,2.0,9.0,15.0,b'\x00',b'\x01',Novostavba,1,1.0,182400.0,185943.41,194567.8678569875,3543.4100000000035,12167.86785698749,Other Model,12167.86785698749,6.67,1,b'\x01',
5306,Bratislava,Bratislava,,117.0,117.0,2.0,15.0,15.0,b'\x00',b'\x00',Novostavba,0,0.0,561600.0,615810.81,444055.15192302957,54210.810000000056,117544.84807697043,Other Model,-117544.84807697043,-20.93,1,b'\x01',
5307,Bratislava,Bratislava,,53.0,53.0,2.0,7.0,15.0,b'\x00',b'\x01',Novostavba,0,0.0,254400.0,257883.57,237324.83842723622,3483.570000000007,17075.161572763784,Other Model,-17075.161572763784,-6.71,1,b'\x01',
5308,Bratislava,Bratislava,,44.0,44.0,2.0,7.0,15.0,b'\x00',b'\x01',Novostavba,10,10.0,198000.0,214462.45,224728.71604732724,16462.45000000001,26728.716047327238,Other Model,26728.716047327238,13.5,1,b'\x01',
5309,Bratislava,Bratislava,,48.0,48.0,2.0,6.0,15.0,b'\x00',b'\x01',Novostavba,0,0.0,230400.0,240871.56,232374.76821253792,10471.559999999998,1974.7682125379215,Our Model,1974.7682125379215,0.86,1,b'\x01',
5321,Žiar nad Hronom,,,63.0,63.0,3.0,3.0,4.0,b'\x00',b'\x00',Pôvodný stav,1,1.0,78000.0,92388.19,84167.48526937644,14388.190000000002,6167.485269376441,Our Model,6167.485269376441,7.91,1,b'\x01',
5323,Poprad,,Vysoké Tatry,42.0,54.0,2.0,1.0,3.0,b'\x01',b'\x01',Novostavba,10,10.0,299000.0,308850.08,257656.5417185706,9850.080000000016,41343.4582814294,Other Model,-41343.4582814294,-13.83,1,b'\x01',
5331,Trenčín,Trenčín,,73.0,73.0,3.0,1.0,4.0,b'\x00',b'\x00',Čiastočná rekonštrukcia,0,0.0,134900.0,148714.78,157042.07466870098,13814.779999999999,22142.07466870098,Other Model,22142.07466870098,16.41,1,b'\x01',
5333,Senec,,,57.0,117.0,2.0,0.0,4.0,b'\x01',b'\x01',Novostavba,0,0.0,226000.0,179412.77,221981.54754686277,46587.23000000001,4018.45245313723,Our Model,-4018.45245313723,-1.78,1,b'\x01',
5334,Zvolen,,Zvolen,71.0,73.0,3.0,3.0,8.0,b'\x00',b'\x01',Čiastočná rekonštrukcia,0,0.0,159000.0,155399.25,154774.61255716777,3600.75,4225.387442832231,Other Model,-4225.387442832231,-2.66,1,b'\x01',
5335,Nové Zámky,,Nové Zámky,68.0,68.0,2.0,10.0,12.0,b'\x00',b'\x00',Kompletná rekonštrukcia,10,10.0,117000.0,132764.08,114240.24599297284,15764.079999999987,2759.7540070271643,Our Model,-2759.7540070271643,-2.36,1,b'\x01',
5340,Bratislava,Bratislava,,92.0,203.0,2.0,6.0,6.0,b'\x01',b'\x01',Kompletná rekonštrukcia,0,0.0,465000.0,428266.2,495614.09888943477,36733.79999999999,30614.09888943477,Our Model,30614.09888943477,6.58,1,b'\x01',
5343,Bratislava,Bratislava,,42.0,42.0,2.0,3.0,5.0,b'\x00',b'\x01',Novostavba,1,1.0,249900.0,,171241.7055402656,,78658.2944597344,No estimate available,-78658.2944597344,-31.48,1,b'\x01',
5344,Bratislava,Bratislava,,80.0,86.1,4.0,4.0,5.0,b'\x01',b'\x01',Kompletná rekonštrukcia,0,0.0,260000.0,279105.9,262443.3224113748,19105.900000000023,2443.322411374771,Our Model,2443.322411374771,0.94,1,b'\x01',
5345,Trnava,Trnava,,59.0,59.0,2.0,4.0,5.0,b'\x00',b'\x01',Novostavba,0,0.0,205000.0,231051.41,186379.81858242268,26051.410000000003,18620.181417577318,Our Model,-18620.181417577318,-9.08,1,b'\x01',
5346,Malacky,,,69.0,78.05,2.0,1.0,3.0,b'\x01',b'\x00',Novostavba,0,0.0,164000.0,,205109.5937584381,,41109.5937584381,No estimate available,41109.5937584381,25.07,1,b'\x01',
5347,Bratislava,,Šamorín,56.0,62.95,3.0,1.0,3.0,b'\x01',b'\x00',Vo výstavbe / Projekt,0,0.0,191201.0,,170419.69192730178,,20781.308072698215,No estimate available,-20781.308072698215,-10.87,1,b'\x01',
5353,Bratislava,Bratislava,,140.0,140.0,4.0,,,b'\x00',b'\x00',Vo výstavbe / Projekt,0,0.0,434900.0,,509400.1851151707,,74500.18511517072,No estimate available,74500.18511517072,17.13,1,b'\x01',
5354,Dunajská Streda,,Šamorín,60.0,68.0,3.0,2.0,3.0,b'\x01',b'\x00',Novostavba,0,0.0,164900.0,131170.14,181257.64327286574,33729.859999999986,16357.643272865738,Our Model,16357.643272865738,9.92,1,b'\x01',
5357,Bratislava,Bratislava,,79.0,93.5,4.0,4.0,12.0,b'\x01',b'\x01',Pôvodný stav,2,2.0,269000.0,272424.95,318215.29669880477,3424.9500000000116,49215.29669880477,Other Model,49215.29669880477,18.3,1,b'\x01',
5358,Bratislava,Bratislava,,52.0,58.69,2.0,4.0,5.0,b'\x01',b'\x00',Novostavba,0,0.0,235000.0,236845.62,235340.46921724197,1845.6199999999953,340.46921724197455,Our Model,340.46921724197455,0.14,1,b'\x01',
5362,Trenčín,Trenčín,,53.0,53.0,2.0,2.0,3.0,b'\x00',b'\x01',Novostavba,0,0.0,191520.0,162882.74,169991.60723080035,28637.26000000001,21528.39276919965,Our Model,-21528.39276919965,-11.24,1,b'\x01',
5370,Poprad,,Svit,57.0,61.1,2.0,3.0,6.0,b'\x01',b'\x01',Novostavba,0,0.0,169999.0,199707.34,171125.8796513556,29708.339999999997,1126.8796513555862,Our Model,1126.8796513555862,0.66,1,b'\x01',
5372,Galanta,,Galanta,66.0,66.0,3.0,2.0,7.0,b'\x00',b'\x01',Čiastočná rekonštrukcia,0,0.0,146000.0,150820.49,126333.39900795369,4820.489999999991,19666.60099204631,Other Model,-19666.60099204631,-13.47,1,b'\x01',
5391,Bratislava,Bratislava,,69.0,85.0,3.0,3.0,4.0,b'\x01',b'\x00',Čiastočná rekonštrukcia,0,0.0,239900.0,229405.0,271755.2981822626,10495.0,31855.298182262573,Other Model,31855.298182262573,13.28,1,b'\x01',
5415,Poprad,,Poprad,83.0,90.4,3.0,3.0,9.0,b'\x01',b'\x00',Vo výstavbe / Projekt,0,0.0,249000.0,,275827.7630732769,,26827.763073276903,No estimate available,26827.763073276903,10.77,1,b'\x01',
5416,Poprad,,Poprad,66.0,73.4,2.0,6.0,9.0,b'\x01',b'\x00',Vo výstavbe / Projekt,1,1.0,209000.0,269066.0,215639.8417641081,60066.0,6639.841764108103,Our Model,6639.841764108103,3.18,1,b'\x01',
5420,Bratislava,Bratislava,,61.0,61.0,2.0,1.0,3.0,b'\x00',b'\x00',Novostavba,0,0.0,229000.0,287808.01,237051.6100859221,58808.01000000001,8051.61008592209,Our Model,8051.61008592209,3.52,1,b'\x01',
5422,Nové Mesto nad Váhom,,,50.0,50.0,2.0,1.0,3.0,b'\x00',b'\x01',Novostavba,0,0.0,106440.0,119372.9,100441.04578332833,12932.899999999994,5998.954216671671,Our Model,-5998.954216671671,-5.64,1,b'\x01',
5423,Nové Mesto nad Váhom,,,37.0,37.0,1.0,2.0,3.0,b'\x00',b'\x01',Novostavba,2,2.0,80300.0,92536.96,100534.91364967072,12236.960000000006,20234.91364967072,Other Model,20234.91364967072,25.2,1,b'\x01',
