id,city_name,locality_city,locality_town,price_current
1557,Banská Štiavnica,,Banská Štiavnica,127000.0
1558,Piešťany,,Piešťany,240000.0
1560,Senec,,Senec,210000.0
1561,Piešťany,,Piešťany,170000.0
1564,Galanta,,Galanta,177230.0
1566,Nitra,Nitra,,182000.0
1567,Malacky,,Malacky,162000.0
1575,Bratislava,Bratislava,,324127.0
1581,Košice,,,235000.0
1582,Košice,Košice,,386910.0
1583,Liptovský Mikuláš,,Liptovský Mikuláš,395000.0
1589,Prievidza,,Handlová,57500.0
1591,Stropkov,,Stropkov,64000.0
1592,Martin,,Martin,100000.0
1594,Trnava,Trnava,,149900.0
1602,Košice,,,186900.0
1603,Levice,,Tlmače,90000.0
1607,Čadca,,,112684.0
1609,Myjava,,Turá Lúka,109192.0
1610,Galanta,,Galanta,128000.0
1612,Banská Bystrica,,,250000.0
1614,Púchov,,,230000.0
1622,Bánovce nad Bebravou,,Bánovce nad Bebravou,129500.0
1623,Brezno,,,158500.0
1624,Brezno,,,129500.0
1630,Žarnovica,,Žarnovica,86177.0
1662,Trenčín,Trenčín,,255200.0
1663,Trenčín,Trenčín,,257400.0
1664,Senec,,,209990.0
1666,Bratislava,Bratislava,,629000.0
1667,Bratislava,Bratislava,,579000.0
1683,Trnava,Trnava,,240000.0
1684,Trnava,Trnava,,165000.0
1685,Bratislava,Bratislava,,354990.0
1688,Turčianske Teplice,,Turčianske Teplice,244000.0
1695,Nitra,Nitra,,173759.0
1697,Zlaté Moravce,,,155000.0
1699,Levice,,Šahy,70000.0
1701,Michalovce,,Michalovce,168000.0
1702,Michalovce,,Strážske,169000.0
1706,Nitra,,Vráble,137900.0
1707,Bratislava,Bratislava,,208000.0
1712,Skalica,,Skalica,15000.0
1713,Prievidza,,Handlová,85000.0
1715,Nitra,Nitra,,345000.0
1716,Nitra,Nitra,,162000.0
1719,Levice,,,96000.0
1720,Bratislava,Bratislava,,254980.0
1721,Piešťany,,,273600.0
1724,Šaľa,,Šaľa,112222.0
1725,Prešov,,Veľký Šariš,224900.0
1731,Komárno,,Štúrovo,84800.0
1734,Liptovský Mikuláš,,,300000.0
1735,Košice,Košice,,198336.0
1742,Lučenec,,Lučenec,103000.0
1747,Michalovce,,Michalovce,148000.0
1756,Dolný Kubín,,Dolný Kubín,249900.0
1757,Bratislava,Bratislava,,259000.0
1758,Dunajská Streda,,Dunajská Streda,176000.0
1759,Hlohovec,,,147000.0
1760,Galanta,,,147000.0
1762,Trnava,,,147000.0
1765,Prievidza,,Bojnice,255000.0
1766,Košice,Košice,,182000.0
1771,Malacky,,,178035.0
1773,Bánovce nad Bebravou,,Bánovce nad Bebravou,89000.0
1775,Ilava,,Dubnica nad Váhom,156500.0
1776,Senec,,,208000.0
1777,Dunajská Streda,,Dunajská Streda,205000.0
1778,Lučenec,,Lučenec,76220.0
1784,Galanta,,Galanta,147390.0
1785,Sabinov,,,60000.0
1787,Košice,Košice,,182000.0
1788,Zvolen,,Zvolen,246923.0
1789,Bratislava,,Stupava,190000.0
1793,Bratislava,Bratislava,,269000.0
1798,Galanta,,Galanta,177230.0
1799,Galanta,,Galanta,136800.0
1801,Považská Bystrica,,Považská Bystrica,209999.0
1802,Topoľčany,,Topoľčany,330000.0
1804,Kežmarok,,,119000.0
1805,Liptovský Mikuláš,,,140000.0
1806,Senec,,,208000.0
1825,Bratislava,,Šamorín,192980.0
1833,Detva,,Detva,134900.0
1835,Bratislava,Bratislava,,844652.0
1846,Nové Zámky,,Nové Zámky,83000.0
1848,Čadca,,,126659.0
1860,Galanta,,,159000.0
1864,Senec,,,154500.0
1866,Senec,,,129900.0
1867,Bratislava,Bratislava,,238755.0
1868,Bratislava,Bratislava,,313532.0
1869,Bratislava,Bratislava,,361333.0
1871,Čadca,,,98949.0
